subject_id 	subject_label 	predicate_id 	object_id 	object_label 	mapping_justification 	comment	mapping_date 	author_id 	subject_source 	subject_source_version 	object_source 	object_source_version 	confidence
http://nmrML.org/nmrCV#NMR:1400014	NMR probe	skos:exactMatch	OBI:0000516	NMR probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400231	Bruker NMR probe	skos:exactMatch	OBI:0000561	Bruker NMR probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400194	Bruker 1mm MicroProbe	skos:exactMatch	OBI:0000590	Bruker 1mm MicroProbe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400191	Bruker CryoProbe	skos:exactMatch	OBI:0000531	Bruker CryoProbe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400223	high resolution probe	skos:exactMatch	OBI:0000480	Bruker high resolution probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400195	flow high resolution probe	skos:exactMatch	OBI:0000527	flow high resolution probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400192	high resolution magic angle spin probe	skos:exactMatch	OBI:0000607	high resolution magic angle spin probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400224	high resolution probe with ATM	skos:exactMatch	OBI:0000616	high resolution probe with automatic tuning and matching	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400225	micro imaging probe	skos:exactMatch	OBI:0000620	Bruker micro imaging probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
http://nmrML.org/nmrCV#NMR:1400193	solid magic angle spinning probe	skos:exactMatch	OBI:0000629	Bruker solid magic angle spinning probe	semapv:ManualMappingCuration	The mapping is based on lexical matching, introspection of OBI and detective work on issue trackers. Main reason for asserting skos:exactMatch is the fact that an author of nmrCV, Daniel Schober, is listed as the term editor of the OBI equivalents (see also: https://sourceforge.net/p/obi/mailman/message/20507660/ & https://sourceforge.net/p/obi/mailman/message/20621928/).	2024-08-29	orcid:0000-0002-1595-3213	http://nmrML.org/nmrCV	2.0	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/obi/2024-06-10/obi.owl	0.95
